Geothite_avg - Data, Corrected, Resampled on common wavenumber scale

nushift=     -3.10000  cm-1
FWHM_resolution:      10.0000  cm-1
H2O_Vol_mixing_ratio:   0.00790000

     Wvnmbr     Wvl(um)    SpecData    H2O_Model    NulledSpec     IG_Nulled     Ratio
    2794.000   3.57910    2.0851e-04    1.0000e+00    2.0851e-04    5.6968e-03    3.6601e-02
    2795.000   3.57782    2.0873e-04    1.0000e+00    2.0873e-04    5.6998e-03    3.6620e-02
    2796.000   3.57654    2.0995e-04    1.0000e+00    2.0995e-04    5.7014e-03    3.6824e-02
    2797.000   3.57526    2.1048e-04    1.0000e+00    2.1048e-04    5.7030e-03    3.6907e-02
    2798.000   3.57398    2.1083e-04    1.0000e+00    2.1083e-04    5.7045e-03    3.6959e-02
    2799.000   3.57270    2.1007e-04    1.0000e+00    2.1007e-04    5.7049e-03    3.6823e-02
    2800.000   3.57143    2.0888e-04    1.0000e+00    2.0888e-04    5.7062e-03    3.6605e-02
    2801.000   3.57015    2.0678e-04    1.0000e+00    2.0678e-04    5.7079e-03    3.6227e-02
    2802.000   3.56888    2.0446e-04    1.0000e+00    2.0446e-04    5.7102e-03    3.5806e-02
    2803.000   3.56761    2.0151e-04    1.0000e+00    2.0151e-04    5.7135e-03    3.5269e-02
    2804.000   3.56633    1.9934e-04    1.0000e+00    1.9934e-04    5.7157e-03    3.4875e-02
    2805.000   3.56506    1.9845e-04    1.0000e+00    1.9845e-04    5.7174e-03    3.4710e-02
    2806.000   3.56379    1.9967e-04    1.0000e+00    1.9967e-04    5.7177e-03    3.4922e-02
    2807.000   3.56252    2.0004e-04    1.0000e+00    2.0004e-04    5.7188e-03    3.4979e-02
    2808.000   3.56125    2.0072e-04    1.0000e+00    2.0072e-04    5.7202e-03    3.5091e-02
    2809.000   3.55999    2.0021e-04    1.0000e+00    2.0021e-04    5.7213e-03    3.4993e-02
    2810.000   3.55872    2.0049e-04    1.0000e+00    2.0049e-04    5.7224e-03    3.5035e-02
    2811.000   3.55745    2.0129e-04    1.0000e+00    2.0129e-04    5.7229e-03    3.5173e-02
    2812.000   3.55619    2.0198e-04    1.0000e+00    2.0198e-04    5.7242e-03    3.5285e-02
    2813.000   3.55492    2.0318e-04    1.0000e+00    2.0318e-04    5.7258e-03    3.5484e-02
    2814.000   3.55366    2.0376e-04    1.0000e+00    2.0376e-04    5.7292e-03    3.5565e-02
    2815.000   3.55240    2.0301e-04    1.0000e+00    2.0301e-04    5.7324e-03    3.5415e-02
    2816.000   3.55114    2.0171e-04    1.0000e+00    2.0171e-04    5.7362e-03    3.5164e-02
    2817.000   3.54988    1.9836e-04    1.0000e+00    1.9836e-04    5.7404e-03    3.4555e-02
    2818.000   3.54862    1.9295e-04    1.0000e+00    1.9295e-04    5.7447e-03    3.3587e-02
    2819.000   3.54736    1.9001e-04    1.0000e+00    1.9001e-04    5.7496e-03    3.3047e-02
    2820.000   3.54610    1.8915e-04    1.0000e+00    1.8915e-04    5.7535e-03    3.2875e-02
    2821.000   3.54484    1.9172e-04    1.0000e+00    1.9172e-04    5.7556e-03    3.3310e-02
    2822.000   3.54359    1.9290e-04    1.0000e+00    1.9290e-04    5.7598e-03    3.3491e-02
    2823.000   3.54233    1.9404e-04    1.0000e+00    1.9404e-04    5.7646e-03    3.3660e-02
    2824.000   3.54108    1.9555e-04    1.0000e+00    1.9555e-04    5.7704e-03    3.3888e-02
    2825.000   3.53982    1.9589e-04    1.0000e+00    1.9589e-04    5.7774e-03    3.3906e-02
    2826.000   3.53857    1.9541e-04    1.0000e+00    1.9541e-04    5.7857e-03    3.3775e-02
    2827.000   3.53732    1.9585e-04    1.0000e+00    1.9585e-04    5.7942e-03    3.3801e-02
    2828.000   3.53607    1.9598e-04    1.0000e+00    1.9598e-04    5.7997e-03    3.3791e-02
    2829.000   3.53482    1.9655e-04    1.0000e+00    1.9655e-04    5.8017e-03    3.3877e-02
    2830.000   3.53357    1.9750e-04    1.0000e+00    1.9750e-04    5.8051e-03    3.4023e-02
    2831.000   3.53232    1.9808e-04    1.0000e+00    1.9808e-04    5.8076e-03    3.4107e-02
    2832.000   3.53107    1.9996e-04    1.0000e+00    1.9996e-04    5.8101e-03    3.4415e-02
    2833.000   3.52983    2.0085e-04    1.0000e+00    2.0085e-04    5.8131e-03    3.4551e-02
    2834.000   3.52858    2.0082e-04    1.0000e+00    2.0082e-04    5.8149e-03    3.4535e-02
    2835.000   3.52734    2.0004e-04    1.0000e+00    2.0004e-04    5.8213e-03    3.4363e-02
    2836.000   3.52609    2.0030e-04    1.0000e+00    2.0030e-04    5.8269e-03    3.4376e-02
    2837.000   3.52485    2.0170e-04    1.0000e+00    2.0170e-04    5.8337e-03    3.4576e-02
    2838.000   3.52361    2.0175e-04    1.0000e+00    2.0175e-04    5.8385e-03    3.4556e-02
    2839.000   3.52237    2.0214e-04    1.0000e+00    2.0214e-04    5.8411e-03    3.4606e-02
    2840.000   3.52113    1.9958e-04    1.0000e+00    1.9958e-04    5.8462e-03    3.4138e-02
    2841.000   3.51989    1.9818e-04    1.0000e+00    1.9818e-04    5.8505e-03    3.3874e-02
    2842.000   3.51865    1.9724e-04    1.0000e+00    1.9724e-04    5.8550e-03    3.3686e-02
    2843.000   3.51741    1.9676e-04    1.0000e+00    1.9676e-04    5.8601e-03    3.3576e-02
    2844.000   3.51617    1.9705e-04    1.0000e+00    1.9705e-04    5.8643e-03    3.3602e-02
    2845.000   3.51494    1.9713e-04    1.0000e+00    1.9713e-04    5.8712e-03    3.3576e-02
    2846.000   3.51370    1.9687e-04    1.0000e+00    1.9687e-04    5.8761e-03    3.3504e-02
    2847.000   3.51247    1.9637e-04    1.0000e+00    1.9637e-04    5.8794e-03    3.3400e-02
    2848.000   3.51124    1.9515e-04    1.0000e+00    1.9515e-04    5.8837e-03    3.3167e-02
    2849.000   3.51000    1.9521e-04    1.0000e+00    1.9521e-04    5.8875e-03    3.3157e-02
    2850.000   3.50877    1.9623e-04    1.0000e+00    1.9623e-04    5.8926e-03    3.3301e-02
    2851.000   3.50754    1.9757e-04    1.0000e+00    1.9757e-04    5.8953e-03    3.3514e-02
    2852.000   3.50631    2.0048e-04    1.0000e+00    2.0048e-04    5.8958e-03    3.4003e-02
    2853.000   3.50508    1.9950e-04    1.0000e+00    1.9950e-04    5.8991e-03    3.3819e-02
    2854.000   3.50385    1.9902e-04    1.0000e+00    1.9902e-04    5.9018e-03    3.3722e-02
    2855.000   3.50263    1.9696e-04    1.0000e+00    1.9696e-04    5.9062e-03    3.3349e-02
    2856.000   3.50140    1.9656e-04    1.0000e+00    1.9656e-04    5.9084e-03    3.3267e-02
    2857.000   3.50017    1.9743e-04    1.0000e+00    1.9743e-04    5.9087e-03    3.3413e-02
    2858.000   3.49895    1.9923e-04    1.0000e+00    1.9923e-04    5.9117e-03    3.3701e-02
    2859.000   3.49773    1.9858e-04    1.0000e+00    1.9858e-04    5.9137e-03    3.3579e-02
    2860.000   3.49650    1.9685e-04    1.0000e+00    1.9685e-04    5.9161e-03    3.3274e-02
    2861.000   3.49528    1.9379e-04    1.0000e+00    1.9379e-04    5.9166e-03    3.2753e-02
    2862.000   3.49406    1.9249e-04    1.0000e+00    1.9249e-04    5.9174e-03    3.2529e-02
    2863.000   3.49284    1.9329e-04    1.0000e+00    1.9329e-04    5.9185e-03    3.2658e-02
    2864.000   3.49162    1.9401e-04    1.0000e+00    1.9401e-04    5.9193e-03    3.2776e-02
    2865.000   3.49040    1.9530e-04    1.0000e+00    1.9530e-04    5.9199e-03    3.2991e-02
    2866.000   3.48918    1.9759e-04    1.0000e+00    1.9759e-04    5.9214e-03    3.3369e-02
    2867.000   3.48797    1.9828e-04    1.0000e+00    1.9828e-04    5.9231e-03    3.3476e-02
    2868.000   3.48675    1.9838e-04    1.0000e+00    1.9838e-04    5.9258e-03    3.3478e-02
