Sample point	wavelength
896	1.540754195
897	1.539732488
898	1.53871078
899	1.537692139
900	1.536673709
901	1.535657284
902	1.534642125
903	1.533627891
904	1.532616
905	1.531604109
906	1.5305953
907	1.529586672
908	1.528579997
909	1.527574626
910	1.526570057
911	1.525567939
912	1.524565822
913	1.523566582
914	1.522567712
915	1.521570522
916	1.520574896
917	1.519579728
918	1.518587341
919	1.517594953
920	1.516605017
921	1.515615863
922	1.514627892
923	1.513641967
924	1.512656043
925	1.511673236
926	1.510690535
927	1.509709637
928	1.508730155
929	1.507751139
930	1.506774873
931	1.505798606
932	1.504824655
933	1.503851598
934	1.502879472
935	1.50190962
936	1.500939768
937	1.499972641
938	1.499005988
939	1.498040628
940	1.497077171
941	1.496113715
942	1.495153285
943	1.494193019
944	1.493234299
945	1.492277219
946	1.491320182
947	1.490366282
948	1.489412382
949	1.488460178
950	1.487509454
951	1.486558875
952	1.485611323
953	1.48466377
954	1.483717957
955	1.48277357
956	1.481829324
957	1.480888099
958	1.479946875
959	1.479007326
960	1.478069258
961	1.477131219
962	1.476196303
963	1.475261387
964	1.474327978
965	1.473396209
966	1.47246444
967	1.471535624
968	1.470606998
969	1.469679603
970	1.468754113
971	1.467828624
972	1.466905755
973	1.465983398
974	1.465061891
975	1.464142662
976	1.463223433
977	1.462306385
978	1.461390278
979	1.460474534
980	1.459561546
981	1.458648557
982	1.457737204
983	1.456827328
984	1.455917453
985	1.455010454
986	1.454103687
987	1.453197902
988	1.452294238
989	1.451390575
990	1.450489076
991	1.449588511
992	1.448688169
993	1.447790697
994	1.446893226
995	1.445997102
996	1.445102719
997	1.444208337
998	1.443316395
999	1.442425096
1000	1.44153422
1001	1.440646001
1002	1.439757781
1003	1.438871019
1004	1.437985874
1005	1.437100729
1006	1.436218043
1007	1.435335968
1008	1.434454258
1009	1.433575247
1010	1.432696237
1011	1.431818536
1012	1.430942585
1013	1.430066634
1014	1.429192905
1015	1.428320009
1016	1.427447166
1017	1.426577319
1018	1.425707473
1019	1.424838534
1020	1.423971733
1021	1.423104932
1022	1.42223986
1023	1.421376099
1024	1.420512338
